genres,,title,,release_date,tags,discount_price,reviews_url,specs,price,early_access,id,developer,sentiment,metascore
"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",,Lost Summoner Kitty,,04-01-18,"['Strategy', 'Action', 'Indie', 'Casual', 'Simulation']",4.49,http://steamcommunity.com/app/761140/reviews/?browsefilter=mostrecent&p=1,['Single-player'],4.99,FALSE,761140,Kotoshiro,,
"['Free to Play', 'Indie', 'RPG', 'Strategy']",,Ironbound,,04-01-18,"['Free to Play', 'Strategy', 'Indie', 'RPG', 'Card Game', 'Trading Card Game', 'Turn-Based', 'Fantasy', 'Tactical', 'Dark Fantasy', 'Board Game', 'PvP', '2D', 'Competitive', 'Replay Value', 'Character Customization', 'Female Protagonist', 'Difficult', 'Design & Illustration']",,http://steamcommunity.com/app/643980/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']",Free To Play,FALSE,643980,Secret Level SRL,Mostly Positive,
"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",,Real Pool 3D - Poolians,,24-07-17,"['Free to Play', 'Simulation', 'Sports', 'Casual', 'Indie', 'Multiplayer']",,http://steamcommunity.com/app/670290/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Online Multi-Player', 'In-App Purchases', 'Stats']",Free to Play,FALSE,670290,Poolians.com,Mostly Positive,
"['Action', 'Adventure', 'Casual']",,弹炸人2222,,07-12-17,"['Action', 'Adventure', 'Casual']",0.83,http://steamcommunity.com/app/767400/reviews/?browsefilter=mostrecent&p=1,['Single-player'],0.99,FALSE,767400,彼岸领域,,
,,,,,"['Action', 'Indie', 'Casual', 'Sports']",1.79,http://steamcommunity.com/app/773570/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Full controller support', 'HTC Vive', 'Oculus Rift', 'Tracked Motion Controllers', 'Room-Scale']",2.99,FALSE,773570,,,
"['Action', 'Adventure', 'Simulation']",,Battle Royale Trainer,,04-01-18,"['Action', 'Adventure', 'Simulation', 'FPS', 'Shooter', 'Third-Person Shooter', 'Sniper', 'Third Person']",,http://steamcommunity.com/app/772540/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements']",3.99,FALSE,772540,Trickjump Games Ltd,Mixed,
"['Free to Play', 'Indie', 'Simulation', 'Sports']",,SNOW - All Access Basic Pass,,04-01-18,"['Free to Play', 'Indie', 'Simulation', 'Sports']",,http://steamcommunity.com/app/774276/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']",9.99,FALSE,774276,Poppermost Productions,,
"['Free to Play', 'Indie', 'Simulation', 'Sports']",,SNOW - All Access Pro Pass,,04-01-18,"['Free to Play', 'Indie', 'Simulation', 'Sports']",,http://steamcommunity.com/app/774277/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']",18.99,FALSE,774277,Poppermost Productions,,
"['Free to Play', 'Indie', 'Simulation', 'Sports']",,SNOW - All Access Legend Pass,,04-01-18,"['Free to Play', 'Indie', 'Simulation', 'Sports']",,http://steamcommunity.com/app/774278/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']",29.99,FALSE,774278,Poppermost Productions,,
"['Casual', 'Indie', 'Racing', 'Simulation']",,Race,,04-01-18,"['Indie', 'Casual', 'Simulation', 'Racing']",,http://steamcommunity.com/app/768800/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Partial Controller Support']",,FALSE,768800,RewindApp,,
"['Action', 'Indie', 'Simulation', 'Early Access']",,Uncanny Islands,,Soon..,"['Early Access', 'Action', 'Indie', 'Simulation', 'Survival']",,http://steamcommunity.com/app/768570/reviews/?browsefilter=mostrecent&p=1,['Single-player'],,TRUE,768570,Qucheza,,
,,,,,['Casual'],,http://steamcommunity.com/app/724910/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'HTC Vive', 'Tracked Motion Controllers', 'Room-Scale']",Free,FALSE,724910,,,
"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,,04-01-18,"['Action', 'Adventure', 'RPG', 'Indie', 'Casual']",8.79,http://steamcommunity.com/app/770380/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements']",10.99,FALSE,770380,Stegalosaurus Game Development,,
"['Casual', 'Indie']",,Beach Rules,,04-01-18,"['Casual', 'Indie', 'Pixel Graphics', 'Cute', '2D']",,http://steamcommunity.com/app/768880/reviews/?browsefilter=mostrecent&p=1,['Single-player'],3.99,FALSE,768880,Copperpick Studio,,
"['Casual', 'Indie', 'Simulation']",,Planetarium 2 - Zen Odyssey,,03-01-18,"['Indie', 'Casual', 'Simulation']",,http://steamcommunity.com/app/765320/reviews/?browsefilter=mostrecent&p=1,['Single-player'],2.99,FALSE,765320,Ghulam Jewel,,
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",,The first thrust of God,,03-01-18,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",,http://steamcommunity.com/app/773650/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Achievements', 'Steam Cloud']",1.59,FALSE,773650,Apillo,1 user reviews,
"['Free to Play', 'Indie', 'Simulation', 'Sports']",,SNOW - Starter Pack,,03-01-18,"['Free to Play', 'Indie', 'Simulation', 'Sports']",,http://steamcommunity.com/app/774271/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']",14.99,FALSE,774271,Poppermost Productions,,
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",,The first thrust of God - All Aircrafts,,03-01-18,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",1.59,http://steamcommunity.com/app/773690/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']",1.99,FALSE,773690,Apillo,,
"['Free to Play', 'Indie', 'Simulation', 'Sports']",,SNOW - Lifetime Pack,,03-01-18,"['Free to Play', 'Indie', 'Simulation', 'Sports']",,http://steamcommunity.com/app/774279/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']",59.99,FALSE,774279,Poppermost Productions,,
,,,,,"['Early Access', 'Indie', 'VR']",,http://steamcommunity.com/app/772590/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'HTC Vive', 'Tracked Motion Controllers', 'Seated', 'Standing', 'Room-Scale']",4.99,TRUE,772590,,,
,,,,,"['Early Access', 'Action', 'Adventure', 'Indie', 'Casual']",1.97,http://steamcommunity.com/app/640250/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Steam Leaderboards', 'HTC Vive', 'Tracked Motion Controllers', 'Standing', 'Room-Scale']",2.99,TRUE,640250,,,
"['Action', 'Adventure', 'Indie']",,The Warrior Of Treasures,,03-01-18,"['Action', 'Adventure', 'Indie']",0.59,http://steamcommunity.com/app/768060/reviews/?browsefilter=mostrecent&p=1,['Single-player'],0.99,FALSE,768060,Tero Lunkka,3 user reviews,
,,,,,"['Early Access', 'Strategy', 'Action', 'Indie', 'Casual', 'VR']",0.89,http://steamcommunity.com/app/711440/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Cross-Platform Multiplayer', 'HTC Vive', 'Oculus Rift', 'Tracked Motion Controllers', 'Seated']",0.99,TRUE,711440,,8 user reviews,
"['Racing', 'Simulation', 'Sports']",,RC Plane 3 - Canyon Scenario,,22-12-17,"['Simulation', 'Racing', 'Sports']",,http://steamcommunity.com/app/775880/reviews/?browsefilter=mostrecent&p=1,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards']",2.99,FALSE,775880,FrozenPepper,,
